"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"17785","GO:0140213",1,0.52474822184657,0,4,"negative regulation of long-chain fatty acid import into cell","BP",1
"17799","GO:0140243",1,0.383633379232825,0,7,"regulation of translation at synapse","BP",1
"17800","GO:0140244",1,0.690996303884648,0,3,"regulation of translation at presynapse","BP",1
"17801","GO:0140245",1,0.555253567756704,0,4,"regulation of translation at postsynapse","BP",1
"17802","GO:0140246",1,0.639315377778883,0,3,"protein catabolic process at synapse","BP",1
"17803","GO:0140249",1,0.639315377778883,0,3,"protein catabolic process at postsynapse","BP",1
"17805","GO:0140251",1,0.738636508474738,0,3,"regulation protein catabolic process at presynapse","BP",1
"17810","GO:0140262",1,0.63221168808867,0,4,"mRNA cap binding complex binding","MF",1
"17812","GO:0140271",1,0.452935323048568,0,6,"hexose import across plasma membrane","BP",1
"17816","GO:0140275",1,0.268041054815084,0,13,"MIB complex","CC",1
"17821","GO:0140291",1,0.711380082601614,0,3,"peptidyl-glutamate ADP-deribosylation","BP",1
"17823","GO:0140293",1,0.711380082601614,0,3,"ADP-ribosylglutamate hydrolase activity","MF",1
"17824","GO:0140294",1,0.716375435566122,0,3,"NAD DNA ADP-ribosyltransferase activity","MF",1
"17845","GO:0140338",1,0.733357404427233,0,3,"sphingomyelin transfer activity","MF",1
"17861","GO:0140360",1,0.697630363268585,0,3,"cyclic-GMP-AMP transmembrane transporter activity","MF",1
"17876","GO:0140450",1,0.672981765869647,0,3,"protein targeting to Golgi apparatus","BP",1
"17887","GO:0140469",1,0.595038200794997,0,4,"GCN2-mediated signaling","BP",1
"17893","GO:0140487",1,0.596682924695734,0,5,"metal ion sequestering activity","MF",1
"17898","GO:0140494",1,0.44938020593555,0,5,"migrasome","CC",1
"17899","GO:0140495",1,0.410410947320206,0,5,"migracytosis","BP",1
"17900","GO:0140499",1,0.640125785430149,0,5,"negative regulation of mitotic spindle assembly checkpoint signaling","BP",1
"17903","GO:0140506",1,0.675656079991487,0,4,"endoplasmic reticulum-autophagosome adaptor activity","MF",1
"17907","GO:0140522",1,0.615073458821438,0,4,"fusogenic activity","MF",1
"17908","GO:0140523",1,0.615073458821438,0,4,"GTPase-dependent fusogenic activity","MF",1
"17916","GO:0140545",1,0.548295508703394,0,6,"ATP-dependent protein disaggregase activity","MF",1
"17918","GO:0140552",1,0.61975665848848,0,3,"TEAD-YAP complex","CC",1
"17928","GO:0140571",1,0.607774861136888,0,4,"transmembrane ascorbate ferrireductase activity","MF",1
"17929","GO:0140575",1,0.604297116563451,0,4,"transmembrane monodehydroascorbate reductase activity","MF",1
"17930","GO:0140576",1,0.71572292806462,0,3,"ascorbate homeostasis","BP",1
"17933","GO:0140582",1,0.616906340075884,0,4,"adenylate cyclase-activating G protein-coupled cAMP receptor signaling pathway","BP",1
"17934","GO:0140585",1,0.585481172080998,0,4,"promoter-enhancer loop anchoring activity","MF",1
"17935","GO:0140587",1,0.509699743321871,0,5,"chromatin loop anchoring activity","MF",1
"17939","GO:0140596",1,0.573206921980847,0,7,"TOM complex","CC",1
"17960","GO:0140663",1,0.769339178288226,0,3,"ATP-dependent FeS chaperone activity","MF",1
"17971","GO:0140680",1,0.523893122586457,0,4,"histone H3K36me/H3K36me2 demethylase activity","MF",1
"17990","GO:0140742",1,0.483086026026969,0,5,"lncRNA transcription","BP",1
"18002","GO:0140768",1,0.551865906597439,0,4,"protein ADP-ribosyltransferase-substrate adaptor activity","MF",1
"18005","GO:0140776",1,0.201155336426338,0,13,"protein-containing complex destabilizing activity","MF",1
"18006","GO:0140777",1,0.634377354963101,0,3,"protein-containing complex stabilizing activity","MF",1
"18011","GO:0140788",1,0.673483112361441,0,3,"L-glutamate uniporter activity","MF",1
"18012","GO:0140789",1,0.714043035600691,0,3,"histone phosphatase activity","MF",1
"18013","GO:0140793",1,0.714043035600691,0,3,"histone H2AXY142 phosphatase activity","MF",1
"18022","GO:0140804",1,0.565706590520188,0,5,"NAD+-protein-lysine ADP-ribosyltransferase activity","MF",1
"18036","GO:0140826",1,0.632415344166448,0,4,"zinc:proton antiporter activity","MF",1
"18038","GO:0140829",1,0.127763494924384,0,14,"bicarbonate:monoatomic anion antiporter activity","MF",1
"18043","GO:0140848",1,0.635858725683361,0,4,"amino acid:monoatomic cation antiporter activity","MF",1
"18050","GO:0140862",1,0.524744997425148,0,4,"histone H2AK119 ubiquitin ligase activity","MF",1
"18057","GO:0140889",1,0.701225570016405,0,3,"DNA replication-dependent chromatin disassembly","BP",1
"18058","GO:0140892",1,0.632573661451128,0,3,"sodium,bicarbonate:chloride antiporter activity","MF",1
"18064","GO:0140900",1,0.127763494924384,0,14,"chloride:bicarbonate antiporter activity","MF",1
"18070","GO:0140911",1,0.725390821156244,0,5,"pore-forming activity","MF",1
"18071","GO:0140912",1,0.759802072004142,0,3,"membrane destabilizing activity","MF",1
"18074","GO:0140916",1,0.599020585022236,0,4,"zinc ion import into lysosome","BP",1
"18082","GO:0140933",1,0.447205121571524,0,6,"5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase activity","MF",1
"18089","GO:0140941",1,0.540138488987068,0,5,"histone H4K20me methyltransferase activity","MF",1
"18091","GO:0140944",1,0.523488758411178,0,6,"histone H4K20 monomethyltransferase activity","MF",1
"18096","GO:0140949",1,0.498954694095321,0,5,"histone H3K9 trimethyltransferase activity","MF",1
"18106","GO:0140965",1,0.731937644899943,0,3,"secondary piRNA processing","BP",1
"18107","GO:0140966",1,0.167901951129509,0,14,"piRNA-mediated heterochromatin formation","BP",1
"18113","GO:0140975",1,0.887036799276247,0,3,"disruption of cellular anatomical structure in another organism","BP",1
"18114","GO:0140978",1,0.795334533437706,0,3,"mitochondrial large ribosomal subunit binding","MF",1
"18117","GO:0140987",1,0.692199574392207,0,3,"ATP:phosphate antiporter activity","MF",1
"18122","GO:0140994",1,0.110214698210672,0,18,"RNA polymerase II CTD heptapeptide repeat modifying activity","MF",1
"18130","GO:0141006",1,0.509970257453605,0,5,"transposable element silencing by piRNA-mediated heterochromatin formation","BP",1
"18133","GO:0141014",1,0.652406265360465,0,4,"ribosome hibernation","BP",1
"18136","GO:0141039",1,0.445552960954302,0,7,"phosphatidylinositol 3-kinase inhibitor activity","MF",1
"18139","GO:0141047",1,0.360051973840804,0,14,"molecular tag activity","MF",1
"18140","GO:0141050",1,0.626671381386002,0,4,"histone H3K deacetylase activity","MF",1
"18141","GO:0141051",1,0.679832325265173,0,3,"histone H4K deacetylase activity","MF",1
"18154","GO:0141068",1,0.621584942842458,0,4,"autosome genomic imprinting","BP",1
"18155","GO:0141069",1,0.545657767456277,0,6,"receptor ligand inhibitor activity","MF",1
"18166","GO:0141107",1,0.795307730807309,0,3,"methyltransferase regulator activity","MF",1
"18187","GO:0141164",1,0.701267585078054,0,4,"mitochondrial protein quality control","BP",1
"18188","GO:0141166",1,0.614716964202447,0,4,"chromosomal 5-methylcytosine DNA demethylation pathway","BP",1
"18191","GO:0141176",1,0.190093892513367,0,13,"gene silencing by piRNA-directed DNA methylation","BP",1
"18192","GO:0141185",1,0.735617535883988,0,3,"UFM1-modified protein reader activity","MF",1
"18198","GO:0141196",1,0.190093892513367,0,13,"transposable element silencing by piRNA-mediated DNA methylation","BP",1
