"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ABCA5" 984.957091741488 1.57840614301153 0.766378797788605 2.05956394874968 0.0394402456744302 0.115409312958976
"ABCA6" 2251.26809950073 1.11160192315104 0.432602855994485 2.56956676949264 0.0101825767110308 0.0418786006028669
"ABCA7" 322.500166551538 -2.54812787103611 0.479524879029236 -5.31385957741048 1.07327337043912e-07 3.38607559069394e-06
"ABCA8" 1649.14756608166 0.275211973470873 0.637168348008616 0.431929762881365 0.665792462309158 0.786913805926634
"ABCA9" 887.995329456126 0.799508880376762 0.441010874872925 1.81290060161699 0.0698471534421974 0.172705370538396
"ABCB1" 125.055990645051 2.15007124376016 0.687824397248568 3.12590139628786 0.00177260976125127 0.0107657831342032
"ABCB10" 331.582566173385 0.637625775117876 0.362251674687777 1.76017343651328 0.07837840442979 0.186770158488166
"ABCB10P1" 0 NA NA NA NA NA
"ABCB10P3" 0 NA NA NA NA NA
"ABCB10P4" 0 NA NA NA NA NA
"ABCB11" 28.8392212275074 -1.1886270923348 0.671986556360953 -1.76882570206708 0.0769229661549781 0.184502228096248
"ABCB4" 141.192907420613 0.880713731477573 0.675197458018366 1.30437951301294 0.192104216828078 0.346232123233757
"ABCB5" 48.9471516807252 -0.403980247729078 0.464730839521702 -0.869277898890576 0.384695148368124 0.553982129373972
"ABCB6" 55.6970347548657 0.849921912570865 1.00786434627137 0.843289988097286 NA NA
"ABCB7" 469.010491939348 0.816524636406479 0.403211892210328 2.02505097736689 0.0428621299641053 0.122316875533748
"ABCB8" 219.609125883705 -0.430411082653393 0.809031287733374 -0.532007957144965 0.594720484401034 0.733444569726749
"ABCB9" 217.237532572489 -0.698225764889199 0.291684154094808 -2.39377338496849 0.0166760484893939 0.0610516948010408
"ABCC1" 1215.18242826938 0.637644591659199 0.404765957438176 1.57534145335479 0.115177650436155 0.243044467355963
"ABCC10" 292.362462379383 -0.58268159661507 0.602656839369428 -0.966854698313458 0.333616675903802 0.501847069094373
"ABCC11" 30.2206752988314 -0.210621879912103 0.493211140688406 -0.427042016159904 0.669348724955703 0.789832218974231
"ABCC12" 27.2090207724582 1.20379916547637 0.830464510433642 1.44954919849348 0.147184271329076 0.288293589804133
"ABCC13" 47.9931533789674 -0.238843536031736 0.984154625151814 -0.242689034759037 0.80824630254511 0.884696037903324
"ABCC2" 104.663955974142 0.296885284352846 0.638850360016126 0.464718035605947 0.642133390913491 0.769073252011721
